2024-03-01 21:37:26.143 INFO  | Set TIMEOUT as 20 minutes. [TextLeak]
2024-03-01 21:37:26.150 INFO  | Start Analysis... [TextLeak]
2024-03-01 21:37:26.908 INFO  | Begin parsing apk: /mnt/data/Users/Leonard/git/bidtext/res/test_apps/com.buycott.android-22.apk [ResourceUtil]
2024-03-01 21:37:27.062 DEBUG | Parsing Main Package. [ResourceUtil]
2024-03-01 21:37:27.063 DEBUG |   - Found Res: [7f010000] - attr/actionBarDivider [ResourceUtil]
2024-03-01 21:37:27.064 DEBUG |   - Found Res: [7f010001] - attr/actionBarItemBackground [ResourceUtil]
2024-03-01 21:37:27.064 DEBUG |   - Found Res: [7f010002] - attr/actionBarSize [ResourceUtil]
2024-03-01 21:37:27.064 DEBUG |   - Found Res: [7f010003] - attr/actionBarSplitStyle [ResourceUtil]
2024-03-01 21:37:27.065 DEBUG |   - Found Res: [7f010004] - attr/actionBarStyle [ResourceUtil]
2024-03-01 21:37:27.065 DEBUG |   - Found Res: [7f010005] - attr/actionBarTabBarStyle [ResourceUtil]
2024-03-01 21:37:27.066 DEBUG |   - Found Res: [7f010006] - attr/actionBarTabStyle [ResourceUtil]
2024-03-01 21:37:27.066 DEBUG |   - Found Res: [7f010007] - attr/actionBarTabTextStyle [ResourceUtil]
2024-03-01 21:37:27.066 DEBUG |   - Found Res: [7f010008] - attr/actionBarWidgetTheme [ResourceUtil]
2024-03-01 21:37:27.067 DEBUG |   - Found Res: [7f010009] - attr/actionButtonStyle [ResourceUtil]
2024-03-01 21:37:27.067 DEBUG |   - Found Res: [7f01000a] - attr/actionMenuTextAppearance [ResourceUtil]
2024-03-01 21:37:27.067 DEBUG |   - Found Res: [7f01000b] - attr/actionMenuTextColor [ResourceUtil]
2024-03-01 21:37:27.068 DEBUG |   - Found Res: [7f01000c] - attr/actionModeBackground [ResourceUtil]
2024-03-01 21:37:27.068 DEBUG |   - Found Res: [7f01000d] - attr/actionModeCloseButtonStyle [ResourceUtil]
2024-03-01 21:37:27.068 DEBUG |   - Found Res: [7f01000e] - attr/actionModeCloseDrawable [ResourceUtil]
2024-03-01 21:37:27.068 DEBUG |   - Found Res: [7f01000f] - attr/actionModeCopyDrawable [ResourceUtil]
2024-03-01 21:37:27.069 DEBUG |   - Found Res: [7f010010] - attr/actionModeCutDrawable [ResourceUtil]
2024-03-01 21:37:27.069 DEBUG |   - Found Res: [7f010011] - attr/actionModeFindDrawable [ResourceUtil]
